"filename", "language", "JavaScript", "HTML", "comment", "blank", "total"
"/home/eli/Projects/partygame/src/MSGTYPE.js", "JavaScript", 32, 0, 4, 13, 49
"/home/eli/Projects/partygame/src/TypedBuffer.js", "JavaScript", 126, 0, 4, 18, 148
"/home/eli/Projects/partygame/src/client/Assets.js", "JavaScript", 56, 0, 0, 12, 68
"/home/eli/Projects/partygame/src/client/Client.js", "JavaScript", 186, 0, 14, 47, 247
"/home/eli/Projects/partygame/src/client/ClientEntities.js", "JavaScript", 439, 0, 6, 97, 542
"/home/eli/Projects/partygame/src/client/ClientInstance.js", "JavaScript", 186, 0, 11, 58, 255
"/home/eli/Projects/partygame/src/client/Keyboard.js", "JavaScript", 78, 0, 0, 14, 92
"/home/eli/Projects/partygame/src/client/Mouse.js", "JavaScript", 70, 0, 0, 15, 85
"/home/eli/Projects/partygame/src/client/Net.js", "JavaScript", 33, 0, 3, 9, 45
"/home/eli/Projects/partygame/src/client/PacketReciever.js", "JavaScript", 125, 0, 3, 27, 155
"/home/eli/Projects/partygame/src/client/TypedBuffer.js", "JavaScript", 127, 0, 4, 18, 149
"/home/eli/Projects/partygame/src/client/index.html", "HTML", 0, 68, 0, 10, 78
"/home/eli/Projects/partygame/src/common/ActionRecord.js", "JavaScript", 20, 0, 0, 5, 25
"/home/eli/Projects/partygame/src/common/EntityDictionary.js", "JavaScript", 26, 0, 0, 6, 32
"/home/eli/Projects/partygame/src/common/EntityRecord.js", "JavaScript", 20, 0, 0, 5, 25
"/home/eli/Projects/partygame/src/common/Enum.js", "JavaScript", 15, 0, 0, 2, 17
"/home/eli/Projects/partygame/src/common/NetMap.js", "JavaScript", 28, 0, 0, 4, 32
"/home/eli/Projects/partygame/src/common/TileCollection.js", "JavaScript", 250, 0, 7, 53, 310
"/home/eli/Projects/partygame/src/common/TileCollectionRendered.js", "JavaScript", 72, 0, 1, 18, 91
"/home/eli/Projects/partygame/src/server/Connections.js", "JavaScript", 39, 0, 7, 12, 58
"/home/eli/Projects/partygame/src/server/IdGenerator.js", "JavaScript", 14, 0, 1, 4, 19
"/home/eli/Projects/partygame/src/server/Index.js", "JavaScript", 77, 0, 18, 26, 121
"/home/eli/Projects/partygame/src/server/PacketRecieverBuffer.js", "JavaScript", 86, 0, 3, 17, 106
"/home/eli/Projects/partygame/src/server/ServerEntities.js", "JavaScript", 133, 0, 8, 31, 172
"/home/eli/Projects/partygame/src/server/ServerInstance.js", "JavaScript", 256, 0, 15, 80, 351
"/home/eli/Projects/partygame/src/server/Session.js", "JavaScript", 6, 0, 0, 3, 9
"/home/eli/Projects/partygame/src/server/SocketGroup.js", "JavaScript", 77, 0, 1, 20, 98
"Total", "-", 2577, 68, 110, 624, 3379
